order	status	file	language	loc	authority_risk_score	migration_potential_score	concept_opportunity_score	priority_score
111	done	core/layer0/ops/src/fluxlattice_program_parts/020-write-security-panel.rs	rs	459	5	1	3	3.4
112	done	core/layer0/ops/src/google_adk_bridge_parts/010-usage.rs	rs	459	5	1	3	3.4
113	done	core/layer0/ops/src/model_router_parts/040-normalize-capability-key.rs	rs	459	5	1	3	3.4
114	done	core/layer0/ops/src/protheusctl_tests_parts/040-core-shortcut-routes-init-tiny-max.rs	rs	459	5	1	3	3.4
115	done	core/layer0/ops/src/dashboard_agent_state_registry_parts/001-part.rs	rs	458	5	1	3	3.4
116	done	core/layer0/ops/src/pydantic_ai_bridge_parts/010-usage.rs	rs	458	5	1	3	3.4
117	done	core/layer0/ops/src/shadow_budget_governance.rs	rs	458	5	1	3	3.4
118	done	core/layer2/execution/src/autoscale_parts/010-queue-pressure.rs	rs	458	5	1	3	3.4
119	done	core/layer2/execution/src/inversion_parts/060-normalize-token-runtime.rs	rs	458	5	1	3	3.4
120	done	core/layer0/ops/src/secret_broker_kernel_parts/040-rotation-health-report.rs	rs	457	5	1	3	3.4
121	done	core/layer0/ops/src/security_plane_parts/030-run-rsi-git-patch-self-mod-gate.rs	rs	457	5	1	3	3.4
122	done	core/layer2/execution/src/autoscale_parts/150-compute-policy-hold.rs	rs	457	5	1	3	3.4
123	done	core/layer0/ops/src/mastra_bridge_parts/040-record-eval-trace.rs	rs	456	5	1	3	3.4
124	done	core/layer0/ops/src/memory_ambient_parts/020-cockpit-claim-evidence.rs	rs	456	5	1	3	3.4
125	done	core/layer0/ops/src/pydantic_ai_bridge_parts/040-approval-checkpoint.rs	rs	456	5	1	3	3.4
126	done	core/layer0/ops/src/secret_broker_kernel_parts/020-parse-ts-ms.rs	rs	456	5	1	3	3.4
127	done	core/layer0/ops/src/health_status_parts/040-collect-assimilation-pain-dashboard-metric.rs	rs	455	5	1	3	3.4
128	done	core/layer0/ops/src/workflow_chain_bridge_parts/020-query-terms.rs	rs	455	5	1	3	3.4
129	done	core/layer2/execution/src/autoscale_parts/110-policy-hold-pattern-input.rs	rs	455	5	1	3	3.4
130	done	core/layer0/ops/src/spawn_broker_parts/020-load-state.rs	rs	454	5	1	3	3.4
131	done	core/layer0/ops/src/swarm_runtime_parts/080-show-turn-run.rs	rs	454	5	1	3	3.4
132	done	core/layer0/ops/src/runtime_systems_parts/040-family-contract-requirements.rs	rs	453	5	1	3	3.4
133	done	core/layer0/ops/src/swarm_runtime_parts/020-new.rs	rs	453	5	1	3	3.4
134	done	core/layer0/ops/src/app_plane_parts/040-run-code-engineer-template-governance.rs	rs	451	5	1	3	3.4
135	done	core/layer0/ops/src/dspy_bridge_parts/030-execute-multihop.rs	rs	451	5	1	3	3.4
136	done	core/layer0/ops/src/runtime_systems_parts/090-execute-infring-detachment-contract.rs	rs	451	5	1	3	3.4
137	done	core/layer0/ops/src/verity_plane_parts/030-receipts-and-vector.rs	rs	451	5	1	3	3.4
138	done	core/layer0/ops/src/dashboard_agent_state_sessions_parts/003-part.rs	rs	450	5	1	3	3.4
139	done	core/layer0/ops/src/model_router_parts/060-detect-communication-fast-path.rs	rs	450	5	1	3	3.4
140	done	core/layer0/ops/src/queued_backlog_kernel.rs	rs	450	5	1	3	3.4
141	done	core/layer0/ops/src/spawn_broker_parts/010-usage.rs	rs	450	5	1	3	3.4
142	done	core/layer0/ops/src/trit_shadow_kernel_parts/020-normalize-policy.rs	rs	449	5	1	3	3.4
143	done	core/layer0/ops/src/crewai_bridge_parts/020-run-process.rs	rs	448	5	1	3	3.4
144	done	core/layer2/execution/src/autoscale_parts/370-compute-execute-confidence-policy.rs	rs	448	5	1	3	3.4
145	done	core/layer0/ops/src/protheusd_parts/020-validate-swarm-profile.rs	rs	447	5	1	3	3.4
